#   Navg =  3.000E+00
# Lambda =  1.404E+00
#      A =  0.000E+00
#     ar =  1.621E+01
#     br =  1.088E+01
#     rb =  3.333E-07
#    rb1 =  3.333E-07
# r_core =  5.527E+00
#     nb = 0
# Mean configuration:
#  1 -1	 2.000E+00
#  2 -1	 3.333E-01
#  2  1	 3.333E-01
#  2 -2	 3.333E-01


  203 3.08285795E+00 -9.73123E-01 -3.32933E-01  7.57589E-03  1.99697E+00  2.43006E-01
  204 3.20739454E+00 -9.35339E-01 -3.18686E-01  6.04969E-03  1.99725E+00  2.39374E-01
  205 3.33548373E+00 -8.99420E-01 -3.05355E-01  4.81119E-03  1.99754E+00  2.34532E-01
  206 3.46717319E+00 -8.65258E-01 -2.92856E-01  3.81511E-03  1.99785E+00  2.28543E-01
  207 3.60251002E+00 -8.32753E-01 -2.81115E-01  3.02149E-03  1.99816E+00  2.21491E-01
  208 3.74154073E+00 -8.01809E-01 -2.70067E-01  2.39423E-03  1.99849E+00  2.13480E-01
  209 3.88431125E+00 -7.72338E-01 -2.59651E-01  1.90273E-03  1.99883E+00  2.04627E-01
  210 4.03086691E+00 -7.44257E-01 -2.49815E-01  1.52025E-03  1.99916E+00  1.95062E-01
  211 4.18125246E+00 -7.17488E-01 -2.40513E-01  1.22468E-03  1.99948E+00  1.84920E-01
  212 4.33551205E+00 -6.91960E-01 -2.31702E-01  9.97294E-04  1.99978E+00  1.74340E-01
  213 4.49368923E+00 -6.67603E-01 -2.23344E-01  7.89031E-04  1.99991E+00  1.63461E-01
  214 4.65582698E+00 -6.44354E-01 -2.15407E-01  6.13946E-04  1.99996E+00  1.52417E-01
  215 4.82196768E+00 -6.22153E-01 -2.07860E-01  4.72487E-04  1.99998E+00  1.41338E-01
  216 4.99215310E+00 -6.00943E-01 -2.00677E-01  3.60626E-04  1.99999E+00  1.30342E-01
  217 5.16642444E+00 -5.80672E-01 -1.93831E-01  2.73347E-04  2.00000E+00  1.19540E-01
  218 5.34482232E+00 -5.61291E-01 -1.87303E-01  2.05898E-04  2.00000E+00  1.09030E-01
  219 5.52738678E+00 -5.42752E-01 -1.81072E-01  1.54172E-04  2.00000E+00  9.88962E-02
  220 5.71415725E+00 -5.25012E-01 -1.75119E-01  1.14774E-04  2.00000E+00  8.92096E-02
  221 5.90517263E+00 -5.08029E-01 -1.69428E-01  8.49532E-05  2.00000E+00  8.00280E-02
